Date,Team,PTS,Opp,PTS_Opp,Weight
2023-12-10,Barça,99.0,Casademont Zaragoza,101.0,0.5
2023-12-12,Umana Reyer Venezia,70.0,Paris Basketball,100.0,1.0
2023-12-12,Hapoel Tel Aviv,89.0,Wolves Vilnius,81.0,1.0
2023-12-12,Zunder Palencia,82.0,Baskonia,94.0,0.5
2023-12-13,Cedevita Olimpija,81.0,Joventut,83.0,1.0
2023-12-13,Veolia Towers Hamburg,83.0,London Lions,81.0,1.0
2023-12-13,Beşiktaş Emlakjet,70.0,Prometey,89.0,1.0
2023-12-13,Baxi Manresa,83.0,Barça,82.0,0.5
2023-12-16,Surne Bilbao Basket,75.0,Dreamland Gran Canaria,83.0,0.5
2023-12-16,Lenovo Tenerife,76.0,Baxi Manresa,73.0,0.5
2023-12-16,Real Madrid,85.0,Monbus Obradoiro,74.0,0.5
2023-12-16,Covirán Granada,70.0,Unicaja,92.0,0.5
2023-12-17,Baskonia,62.0,Barça,82.0,0.5
2023-12-17,Joventut,82.0,Bàsquet Girona,67.0,0.5
2023-12-17,UCAM Murcia,83.0,Río Breogán,74.0,0.5
2023-12-17,MoraBanc Andorra,82.0,Valencia Basket,86.0,0.5
2023-12-17,Casademont Zaragoza,88.0,Zunder Palencia,80.0,0.5
2023-12-19,Beşiktaş Emlakjet,88.0,Cedevita Olimpija,83.0,1.0
2023-12-20,Umana Reyer Venezia,,Hapoel Tel Aviv,,1.0
2023-12-20,Joventut,94.0,Wolves Vilnius,79.0,1.0
2023-12-20,Veolia Towers Hamburg,91.0,Paris Basketball,120.0,1.0
2023-12-20,Umana Reyer Venezia,81.0,Hapoel Tel Aviv,100.0,1.0
2023-12-20,Prometey,88.0,London Lions,89.0,1.0
2023-12-22,Bàsquet Girona,74.0,Surne Bilbao Basket,80.0,0.5
2023-12-22,Dreamland Gran Canaria,98.0,MoraBanc Andorra,77.0,0.5
2023-12-22,Unicaja,88.0,UCAM Murcia,65.0,0.5
2023-12-22,Casademont Zaragoza,70.0,Lenovo Tenerife,64.0,0.5
2023-12-23,Monbus Obradoiro,90.0,Río Breogán,88.0,0.5
2023-12-23,Real Madrid,101.0,Joventut,73.0,0.5
2023-12-23,Covirán Granada,81.0,Valencia Basket,75.0,0.5
2023-12-26,Umana Reyer Venezia,81.0,Joventut,89.0,1.0
2023-12-26,London Lions,77.0,Paris Basketball,94.0,1.0
2023-12-27,Wolves Vilnius,59.0,Beşiktaş Emlakjet,72.0,1.0
2023-12-27,Cedevita Olimpija,100.0,Prometey,105.0,1.0
2023-12-27,Barça,71.0,Unicaja,91.0,0.5
2023-12-27,Veolia Towers Hamburg,101.0,Hapoel Tel Aviv,118.0,1.0
2023-12-28,Lenovo Tenerife,80.0,Covirán Granada,68.0,0.5
2023-12-28,MoraBanc Andorra,76.0,Casademont Zaragoza,72.0,0.5
2023-12-29,UCAM Murcia,87.0,Monbus Obradoiro,79.0,0.5
2023-12-29,Joventut,89.0,Baxi Manresa,102.0,0.5
2023-12-30,Río Breogán,60.0,Dreamland Gran Canaria,86.0,0.5
2023-12-30,Baskonia,93.0,Bàsquet Girona,85.0,0.5
2023-12-30,Surne Bilbao Basket,72.0,Zunder Palencia,78.0,0.5
2023-12-31,Valencia Basket,74.0,Real Madrid,83.0,0.5
2024-01-03,Wolves Vilnius,80.0,Hapoel Tel Aviv,89.0,1.0
2024-01-06,Bàsquet Girona,74.0,Casademont Zaragoza,81.0,0.5
2024-01-06,Joventut,70.0,Lenovo Tenerife,90.0,0.5
2024-01-06,UCAM Murcia,73.0,MoraBanc Andorra,98.0,0.5
2024-01-06,Unicaja,86.0,Zunder Palencia,72.0,0.5
2024-01-07,Monbus Obradoiro,90.0,Barça,92.0,0.5
2024-01-07,Baxi Manresa,54.0,Surne Bilbao Basket,74.0,0.5
2024-01-07,Covirán Granada,79.0,Río Breogán,85.0,0.5
2024-01-07,Dreamland Gran Canaria,86.0,Valencia Basket,79.0,0.5
2024-01-07,Real Madrid,99.0,Baskonia,85.0,0.5
2024-01-09,London Lions,100.0,Hapoel Tel Aviv,96.0,1.0
2024-01-09,Cedevita Olimpija,89.0,Wolves Vilnius,91.0,1.0
2024-01-10,Prometey,72.0,Paris Basketball,93.0,1.0
2024-01-10,Joventut,96.0,Veolia Towers Hamburg,90.0,1.0
2024-01-10,Beşiktaş Emlakjet,96.0,Umana Reyer Venezia,106.0,1.0
2024-01-13,Dreamland Gran Canaria,77.0,Unicaja,80.0,0.5
2024-01-13,Surne Bilbao Basket,78.0,MoraBanc Andorra,87.0,0.5
2024-01-13,Casademont Zaragoza,84.0,Joventut,95.0,0.5
2024-01-13,Zunder Palencia,86.0,Bàsquet Girona,84.0,0.5
2024-01-14,Baskonia,90.0,Baxi Manresa,82.0,0.5
2024-01-14,Río Breogán,80.0,Valencia Basket,88.0,0.5
2024-01-14,Real Madrid,61.0,UCAM Murcia,73.0,0.5
2024-01-14,Monbus Obradoiro,74.0,Covirán Granada,77.0,0.5
2024-01-14,Barça,83.0,Lenovo Tenerife,80.0,0.5
2024-01-17,Umana Reyer Venezia,104.0,Cedevita Olimpija,93.0,1.0
2024-01-17,Beşiktaş Emlakjet,94.0,Veolia Towers Hamburg,83.0,1.0
2024-01-17,Paris Basketball,104.0,Hapoel Tel Aviv,86.0,1.0
2024-01-17,Joventut,82.0,London Lions,80.0,1.0
2024-01-17,Wolves Vilnius,64.0,Prometey,91.0,1.0
2024-01-20,Lenovo Tenerife,97.0,Monbus Obradoiro,86.0,0.5
2024-01-20,Unicaja,81.0,Joventut,85.0,0.5
2024-01-20,Baxi Manresa,95.0,Zunder Palencia,88.0,0.5
2024-01-20,UCAM Murcia,80.0,Dreamland Gran Canaria,91.0,0.5
2024-01-21,Valencia Basket,85.0,Casademont Zaragoza,75.0,0.5
2024-01-21,MoraBanc Andorra,95.0,Baskonia,108.0,0.5
2024-01-21,Surne Bilbao Basket,80.0,Real Madrid,95.0,0.5
2024-01-21,Barça,94.0,Covirán Granada,61.0,0.5
2024-01-21,Bàsquet Girona,75.0,Río Breogán,93.0,0.5
2024-01-23,Joventut,82.0,Paris Basketball,89.0,1.0
2024-01-24,Beşiktaş Emlakjet,72.0,London Lions,93.0,1.0
2024-01-24,Prometey,113.0,Hapoel Tel Aviv,105.0,1.0
2024-01-24,Cedevita Olimpija,114.0,Veolia Towers Hamburg,83.0,1.0
2024-01-24,Wolves Vilnius,75.0,Umana Reyer Venezia,57.0,1.0
2024-01-27,Río Breogán,68.0,Baxi Manresa,83.0,0.5
2024-01-27,UCAM Murcia,73.0,Lenovo Tenerife,75.0,0.5
2024-01-27,Casademont Zaragoza,83.0,Surne Bilbao Basket,86.0,0.5
2024-01-27,Joventut,86.0,MoraBanc Andorra,79.0,0.5
2024-01-28,Covirán Granada,61.0,Bàsquet Girona,80.0,0.5
2024-01-28,Zunder Palencia,94.0,Barça,102.0,0.5
2024-01-28,Real Madrid,77.0,Dreamland Gran Canaria,100.0,0.5
2024-01-28,Unicaja,83.0,Valencia Basket,63.0,0.5
2024-01-28,Monbus Obradoiro,79.0,Baskonia,89.0,0.5
2024-01-30,Veolia Towers Hamburg,84.0,Wolves Vilnius,94.0,1.0
2024-01-30,Prometey,92.0,Umana Reyer Venezia,108.0,1.0
2024-01-30,Hapoel Tel Aviv,91.0,Joventut,85.0,1.0
2024-01-30,Paris Basketball,95.0,Beşiktaş Emlakjet,72.0,1.0
2024-01-31,London Lions,92.0,Cedevita Olimpija,85.0,1.0
2024-02-03,Río Breogán,61.0,Casademont Zaragoza,63.0,0.5
2024-02-03,MoraBanc Andorra,86.0,Unicaja,92.0,0.5
2024-02-03,Zunder Palencia,77.0,Joventut,89.0,0.5
2024-02-03,Surne Bilbao Basket,76.0,UCAM Murcia,96.0,0.5
2024-02-04,Valencia Basket,79.0,Barça,76.0,0.5
2024-02-04,Baskonia,78.0,Lenovo Tenerife,95.0,0.5
2024-02-04,Baxi Manresa,94.0,Covirán Granada,93.0,0.5
2024-02-04,Dreamland Gran Canaria,81.0,Monbus Obradoiro,72.0,0.5
