Date,Team,PTS,,Opp,PTS,,OT,Notes
Sat Feb 10 2024,Élan Sportif Chalonnais,72,,Le Mans Sarthe Basket,98,,,
Sat Feb 10 2024,Jeanne d'Arc Dijon Basket,77,,Limoges CSP,93,,,
Sat Feb 10 2024,ESSM Le Portel,91,,SLUC Nancy Basket,76,,,
Sat Feb 10 2024,Nanterre 92,86,,Chorale Roanne Basket,72,,,
Sat Feb 10 2024,Cholet Basket,76,,SIG Strasbourg,79,,,
Sun Feb 11 2024,Metropolitans 92,72,,AS Monaco,84,,,
Sun Feb 11 2024,Saint-Quentin Basketball,65,,Paris Basketball,87,,,
Sun Feb 11 2024,JL Bourg,61,,LDLC ASVEL,84,,,
Wed Feb 28 2024,AS Monaco,86,,Nanterre 92,80,,,
Sat Mar 2 2024,Le Mans Sarthe Basket,67,,JL Bourg,86,,,
Sat Mar 2 2024,Élan Sportif Chalonnais,96,,ESSM Le Portel,99,,OT,
Sat Mar 2 2024,SLUC Nancy Basket,89,,Metropolitans 92,80,,,
Sat Mar 2 2024,BCM Gravelines-Dunkerque,76,,Saint-Quentin Basketball,68,,,
Sat Mar 2 2024,Chorale Roanne Basket,82,,SIG Strasbourg,97,,,
Sun Mar 3 2024,Paris Basketball,92,,Blois,88,,,
Sun Mar 3 2024,Limoges CSP,67,,Cholet Basket,71,,,
Sun Mar 3 2024,LDLC ASVEL,73,,Jeanne d'Arc Dijon Basket,71,,,
Tue Mar 5 2024,Paris Basketball,77,,BCM Gravelines-Dunkerque,66,,,
Sat Mar 9 2024,Cholet Basket,80,,JL Bourg,78,,,
Sat Mar 9 2024,Paris Basketball,80,,Jeanne d'Arc Dijon Basket,72,,,
Sat Mar 9 2024,Nanterre 92,89,,Le Mans Sarthe Basket,76,,,
Sat Mar 9 2024,Metropolitans 92,88,,Limoges CSP,98,,,
Sat Mar 9 2024,ESSM Le Portel,83,,Chorale Roanne Basket,84,,,
Sat Mar 9 2024,Blois,64,,Saint-Quentin Basketball,75,,,
Sun Mar 10 2024,LDLC ASVEL,87,,Élan Sportif Chalonnais,88,,OT,
Sun Mar 10 2024,AS Monaco,72,,BCM Gravelines-Dunkerque,68,,,
Sun Mar 10 2024,SIG Strasbourg,75,,SLUC Nancy Basket,79,,,
Fri Mar 15 2024,BCM Gravelines-Dunkerque,78,,Chorale Roanne Basket,69,,,
Wed Mar 20 2024,SLUC Nancy Basket,71,,Paris Basketball,113,,,
Wed Mar 20 2024,JL Bourg,111,,Chorale Roanne Basket,87,,,
Sat Mar 23 2024,SLUC Nancy Basket,74,,Élan Sportif Chalonnais,70,,,
Sat Mar 23 2024,Saint-Quentin Basketball,69,,Cholet Basket,73,,,
Sat Mar 23 2024,Blois,89,,ESSM Le Portel,94,,,
Sat Mar 23 2024,JL Bourg,98,,Nanterre 92,105,,,
Sat Mar 23 2024,Limoges CSP,77,,Paris Basketball,101,,,
Sat Mar 23 2024,Jeanne d'Arc Dijon Basket,77,,Metropolitans 92,82,,,
Sun Mar 24 2024,Chorale Roanne Basket,80,,Le Mans Sarthe Basket,90,,,
Sun Mar 24 2024,SIG Strasbourg,78,,AS Monaco,92,,,
Sun Mar 24 2024,BCM Gravelines-Dunkerque,83,,LDLC ASVEL,86,,OT,
Tue Mar 26 2024,Saint-Quentin Basketball,76,,ESSM Le Portel,85,,,
Sat Mar 30 2024,Le Mans Sarthe Basket,80,,Blois,78,,,
Sat Mar 30 2024,Élan Sportif Chalonnais,88,,Limoges CSP,107,,,
Sat Mar 30 2024,Cholet Basket,85,,SLUC Nancy Basket,77,,,
Sat Mar 30 2024,Metropolitans 92,93,,Chorale Roanne Basket,105,,,
Sat Mar 30 2024,AS Monaco,69,,Saint-Quentin Basketball,71,,,
Sat Mar 30 2024,LDLC ASVEL,80,,SIG Strasbourg,82,,,
Sun Mar 31 2024,Jeanne d'Arc Dijon Basket,60,,JL Bourg,66,,,
Sun Mar 31 2024,ESSM Le Portel,83,,BCM Gravelines-Dunkerque,77,,OT,
Sun Mar 31 2024,Nanterre 92,68,,Paris Basketball,102,,,
Sat Apr 6 2024,Chorale Roanne Basket,86,,Élan Sportif Chalonnais,105,,,
Sat Apr 6 2024,BCM Gravelines-Dunkerque,84,,Cholet Basket,72,,,
Sat Apr 6 2024,SIG Strasbourg,68,,Jeanne d'Arc Dijon Basket,80,,,
Sat Apr 6 2024,Paris Basketball,88,,Le Mans Sarthe Basket,55,,,
Sat Apr 6 2024,Metropolitans 92,79,,ESSM Le Portel,104,,,
Sat Apr 6 2024,Saint-Quentin Basketball,80,,Limoges CSP,83,,,
Sun Apr 7 2024,Blois,66,,JL Bourg,81,,,
Sun Apr 7 2024,SLUC Nancy Basket,100,,AS Monaco,86,,,
Sun Apr 7 2024,Nanterre 92,76,,LDLC ASVEL,100,,,
Tue Apr 9 2024,Limoges CSP,56,,AS Monaco,94,,,
Sat Apr 13 2024,AS Monaco,80,,Jeanne d'Arc Dijon Basket,72,,,
Sat Apr 13 2024,Le Mans Sarthe Basket,60,,SLUC Nancy Basket,68,,,
Sat Apr 13 2024,Limoges CSP,77,,Nanterre 92,113,,,
Sat Apr 13 2024,BCM Gravelines-Dunkerque,65,,SIG Strasbourg,68,,,
Sun Apr 14 2024,LDLC ASVEL,98,,Blois,72,,,
Sun Apr 14 2024,JL Bourg,,,Paris Basketball,,,,Postponed
Sun Apr 14 2024,Élan Sportif Chalonnais,83,,Metropolitans 92,75,,,
Sun Apr 14 2024,Cholet Basket,69,,Chorale Roanne Basket,82,,,
Wed Apr 17 2024,AS Monaco,99,,Chorale Roanne Basket,92,,,
Sat Apr 20 2024,Nanterre 92,97,,Élan Sportif Chalonnais,89,,,
Sat Apr 20 2024,Blois,80,,Cholet Basket,71,,,
Sat Apr 20 2024,Chorale Roanne Basket,67,,BCM Gravelines-Dunkerque,82,,,
Sat Apr 20 2024,Metropolitans 92,96,,Le Mans Sarthe Basket,110,,,
Sat Apr 20 2024,SLUC Nancy Basket,99,,Limoges CSP,102,,,
Sat Apr 20 2024,Jeanne d'Arc Dijon Basket,73,,Saint-Quentin Basketball,77,,,
Sun Apr 21 2024,SIG Strasbourg,74,,JL Bourg,77,,,
Sun Apr 21 2024,ESSM Le Portel,67,,AS Monaco,101,,,
Sun Apr 21 2024,Paris Basketball,86,,LDLC ASVEL,66,,,
Tue Apr 23 2024,Élan Sportif Chalonnais,95,,Blois,92,,OT,
Tue Apr 23 2024,BCM Gravelines-Dunkerque,63,,Limoges CSP,88,,,
Tue Apr 23 2024,Nanterre 92,82,,Saint-Quentin Basketball,87,,,
Wed Apr 24 2024,ESSM Le Portel,80,,Jeanne d'Arc Dijon Basket,92,,,
Wed Apr 24 2024,LDLC ASVEL,83,,SLUC Nancy Basket,58,,,
Wed Apr 24 2024,Cholet Basket,90,,Paris Basketball,92,,OT,
Wed Apr 24 2024,JL Bourg,101,,Metropolitans 92,82,,,
Wed Apr 24 2024,Le Mans Sarthe Basket,80,,SIG Strasbourg,71,,,
Sun Apr 28 2024,JL Bourg,80,,Paris Basketball,84,,,
Sun Apr 28 2024,Le Mans Sarthe Basket,76,,ESSM Le Portel,85,,,
Sun Apr 28 2024,Saint-Quentin Basketball,77,,LDLC ASVEL,79,,,
Tue Apr 30 2024,Paris Basketball,84,,Élan Sportif Chalonnais,73,,,
Tue Apr 30 2024,Jeanne d'Arc Dijon Basket,88,,Cholet Basket,79,,,
Tue Apr 30 2024,JL Bourg,75,,BCM Gravelines-Dunkerque,64,,,
Tue Apr 30 2024,Chorale Roanne Basket,79,,SLUC Nancy Basket,84,,,
Tue Apr 30 2024,Blois,106,,Nanterre 92,103,,,
Tue Apr 30 2024,SIG Strasbourg,107,,Metropolitans 92,85,,,
Sat May 4 2024,SLUC Nancy Basket,78,,JL Bourg,103,,,
Sat May 4 2024,Saint-Quentin Basketball,90,,Élan Sportif Chalonnais,97,,2OT,
Sat May 4 2024,Metropolitans 92,76,,BCM Gravelines-Dunkerque,106,,,
Sat May 4 2024,Jeanne d'Arc Dijon Basket,87,,Nanterre 92,67,,,
Sat May 4 2024,Chorale Roanne Basket,61,,Paris Basketball,90,,,
Sat May 4 2024,Blois,88,,SIG Strasbourg,80,,,
Sun May 5 2024,Limoges CSP,75,,Le Mans Sarthe Basket,101,,,
Sun May 5 2024,Cholet Basket,79,,AS Monaco,66,,,
Sun May 5 2024,ESSM Le Portel,70,,LDLC ASVEL,85,,,
Sat May 11 2024,AS Monaco,89,,Blois,73,,,
Sat May 11 2024,Élan Sportif Chalonnais,77,,Cholet Basket,84,,,
Sat May 11 2024,Le Mans Sarthe Basket,77,,Jeanne d'Arc Dijon Basket,87,,,
Sat May 11 2024,Paris Basketball,80,,ESSM Le Portel,66,,,
Sat May 11 2024,JL Bourg,90,,Limoges CSP,86,,,
Sat May 11 2024,BCM Gravelines-Dunkerque,59,,SLUC Nancy Basket,69,,,
Sat May 11 2024,Nanterre 92,90,,Metropolitans 92,80,,,
Sat May 11 2024,LDLC ASVEL,69,,Chorale Roanne Basket,66,,,
Sat May 11 2024,SIG Strasbourg,66,,Saint-Quentin Basketball,86,,,
