Date,Team,PTS,,Opp,PTS,,OT,Notes
Sat Jan 20 2024,Beşiktaş Emlakjet,85,,Tofaş,81,,,
Sun Jan 21 2024,Çağdaş Bodrumspor,79,,Anadolu Efes,87,,,
Sun Jan 21 2024,Bursaspor İnfo Yatırım,85,,Darüşşafaka Lassa,94,,,
Sun Jan 21 2024,ONVO Büyükçekmece,74,,Türk Telekom,71,,,
Sun Jan 21 2024,Pınar Karşıyaka,63,,Fenerbahçe Beko,93,,,
Mon Jan 22 2024,Reeder Samsunspor,74,,Yukatel Merkezefendi Basket,83,,OT,
Sat Jan 27 2024,Fenerbahçe Beko,110,,Bahçeşehir Koleji,105,,OT,
Sat Jan 27 2024,Bursaspor İnfo Yatırım,59,,Beşiktaş Emlakjet,88,,,
Sat Jan 27 2024,Petkim Spor,88,,Galatasaray Nef,90,,OT,
Sat Jan 27 2024,Manisa BB,77,,Reeder Samsunspor,71,,,
Sun Jan 28 2024,Türk Telekom,88,,Çağdaş Bodrumspor,79,,,
Sun Jan 28 2024,Anadolu Efes,81,,Pınar Karşıyaka,99,,,
Sun Jan 28 2024,Yukatel Merkezefendi Basket,77,,Tofaş,98,,,
Mon Jan 29 2024,Darüşşafaka Lassa,88,,ONVO Büyükçekmece,80,,,
Sat Feb 3 2024,ONVO Büyükçekmece,81,,Bursaspor İnfo Yatırım,94,,,
Sat Feb 3 2024,Beşiktaş Emlakjet,83,,Yukatel Merkezefendi Basket,73,,,
Sat Feb 3 2024,Pınar Karşıyaka,81,,Türk Telekom,70,,,
Sun Feb 4 2024,Bahçeşehir Koleji,82,,Anadolu Efes,91,,,
Sun Feb 4 2024,Tofaş,89,,Manisa BB,91,,,
Sun Feb 4 2024,Reeder Samsunspor,83,,Petkim Spor,93,,,
Sun Feb 4 2024,Galatasaray Nef,74,,Fenerbahçe Beko,90,,,
Mon Feb 5 2024,Çağdaş Bodrumspor,103,,Darüşşafaka Lassa,97,,,
Sat Feb 10 2024,Türk Telekom,92,,Bahçeşehir Koleji,90,,OT,
Sat Feb 10 2024,ONVO Büyükçekmece,72,,Beşiktaş Emlakjet,85,,,
Sat Feb 10 2024,Manisa BB,68,,Yukatel Merkezefendi Basket,82,,,
Sat Feb 10 2024,Darüşşafaka Lassa,98,,Pınar Karşıyaka,86,,,
Sun Feb 11 2024,Anadolu Efes,95,,Galatasaray Nef,92,,,
Sun Feb 11 2024,Fenerbahçe Beko,96,,Reeder Samsunspor,75,,,
Sun Feb 11 2024,Petkim Spor,71,,Tofaş,84,,,
Mon Feb 12 2024,Bursaspor İnfo Yatırım,76,,Çağdaş Bodrumspor,87,,,
Fri Mar 1 2024,Pınar Karşıyaka,102,,Bursaspor İnfo Yatırım,68,,,
Fri Mar 1 2024,Bahçeşehir Koleji,75,,Darüşşafaka Lassa,68,,,
Sat Mar 2 2024,Çağdaş Bodrumspor,71,,ONVO Büyükçekmece,108,,,
Sat Mar 2 2024,Beşiktaş Emlakjet,70,,Manisa BB,78,,,
Sat Mar 2 2024,Galatasaray Nef,92,,Türk Telekom,90,,,
Sun Mar 3 2024,Reeder Samsunspor,86,,Anadolu Efes,91,,,
Sun Mar 3 2024,Yukatel Merkezefendi Basket,81,,Petkim Spor,89,,,
Sun Mar 3 2024,Tofaş,77,,Fenerbahçe Beko,109,,,
Sat Mar 9 2024,Fenerbahçe Beko,93,,Yukatel Merkezefendi Basket,68,,,
Sat Mar 9 2024,Darüşşafaka Lassa,78,,Galatasaray Nef,95,,,
Sat Mar 9 2024,Petkim Spor,106,,Manisa BB,90,,,
Sat Mar 9 2024,Türk Telekom,75,,Reeder Samsunspor,55,,,
Sun Mar 10 2024,Bursaspor İnfo Yatırım,80,,Bahçeşehir Koleji,67,,,
Sun Mar 10 2024,Çağdaş Bodrumspor,90,,Beşiktaş Emlakjet,96,,,
Sun Mar 10 2024,ONVO Büyükçekmece,87,,Pınar Karşıyaka,93,,,
Sun Mar 10 2024,Anadolu Efes,95,,Tofaş,93,,,
Fri Mar 15 2024,Reeder Samsunspor,78,,Darüşşafaka Lassa,108,,,
Sat Mar 16 2024,Pınar Karşıyaka,98,,Çağdaş Bodrumspor,97,,,
Sat Mar 16 2024,Tofaş,83,,Türk Telekom,87,,,
Sat Mar 16 2024,Manisa BB,82,,Fenerbahçe Beko,98,,,
Sun Mar 17 2024,Yukatel Merkezefendi Basket,77,,Anadolu Efes,83,,,
Sun Mar 17 2024,Galatasaray Nef,81,,Bursaspor İnfo Yatırım,65,,,
Sun Mar 17 2024,Beşiktaş Emlakjet,70,,Petkim Spor,58,,,
Mon Mar 18 2024,Bahçeşehir Koleji,68,,ONVO Büyükçekmece,75,,,
Fri Mar 22 2024,Bursaspor İnfo Yatırım,108,,Reeder Samsunspor,80,,,
Sat Mar 23 2024,Çağdaş Bodrumspor,86,,Bahçeşehir Koleji,89,,,
Sat Mar 23 2024,Pınar Karşıyaka,66,,Beşiktaş Emlakjet,115,,,
Sat Mar 23 2024,Türk Telekom,81,,Yukatel Merkezefendi Basket,95,,,
Sun Mar 24 2024,ONVO Büyükçekmece,101,,Galatasaray Nef,96,,OT,
Sun Mar 24 2024,Anadolu Efes,81,,Manisa BB,76,,,
Sun Mar 24 2024,Darüşşafaka Lassa,90,,Tofaş,83,,,
Mon Mar 25 2024,Fenerbahçe Beko,81,,Petkim Spor,59,,,
Fri Mar 29 2024,Galatasaray Nef,81,,Çağdaş Bodrumspor,77,,,
Fri Mar 29 2024,Tofaş,95,,Bursaspor İnfo Yatırım,89,,,
Fri Mar 29 2024,Reeder Samsunspor,58,,ONVO Büyükçekmece,96,,,
Sat Mar 30 2024,Yukatel Merkezefendi Basket,88,,Darüşşafaka Lassa,86,,,
Sat Mar 30 2024,Bahçeşehir Koleji,76,,Pınar Karşıyaka,92,,,
Sat Mar 30 2024,Manisa BB,83,,Türk Telekom,79,,,
Tue Apr 2 2024,Petkim Spor,73,,Anadolu Efes,98,,,
Tue Apr 2 2024,Beşiktaş Emlakjet,,,Fenerbahçe Beko,,,,Postponed
Fri Apr 5 2024,Çağdaş Bodrumspor,100,,Reeder Samsunspor,61,,,
Sat Apr 6 2024,Beşiktaş Emlakjet,93,,Bahçeşehir Koleji,96,,,
Sat Apr 6 2024,Bursaspor İnfo Yatırım,87,,Yukatel Merkezefendi Basket,82,,,
Sat Apr 6 2024,Pınar Karşıyaka,92,,Galatasaray Nef,86,,,
Sun Apr 7 2024,Darüşşafaka Lassa,62,,Manisa BB,69,,,
Sun Apr 7 2024,Türk Telekom,94,,Petkim Spor,96,,OT,
Sun Apr 7 2024,ONVO Büyükçekmece,94,,Tofaş,73,,,
Mon Apr 8 2024,Anadolu Efes,90,,Fenerbahçe Beko,80,,,
Sat Apr 13 2024,Galatasaray Nef,89,,Bahçeşehir Koleji,90,,,
Sat Apr 13 2024,Yukatel Merkezefendi Basket,78,,ONVO Büyükçekmece,76,,,
Sat Apr 13 2024,Reeder Samsunspor,71,,Pınar Karşıyaka,103,,,
Sun Apr 14 2024,Beşiktaş Emlakjet,75,,Anadolu Efes,90,,,
Sun Apr 14 2024,Tofaş,,,Çağdaş Bodrumspor,,,,Postponed
Sun Apr 14 2024,Manisa BB,94,,Bursaspor İnfo Yatırım,102,,2OT,
Mon Apr 15 2024,Petkim Spor,83,,Darüşşafaka Lassa,72,,,
Mon Apr 15 2024,Fenerbahçe Beko,91,,Türk Telekom,95,,,
Thu Apr 18 2024,Beşiktaş Emlakjet,66,,Fenerbahçe Beko,87,,,
Sat Apr 20 2024,Çağdaş Bodrumspor,68,,Yukatel Merkezefendi Basket,83,,,
Sat Apr 20 2024,Bahçeşehir Koleji,105,,Reeder Samsunspor,69,,,
Sat Apr 20 2024,Darüşşafaka Lassa,77,,Fenerbahçe Beko,110,,,
Sun Apr 21 2024,Türk Telekom,82,,Anadolu Efes,81,,,
Sun Apr 21 2024,ONVO Büyükçekmece,93,,Manisa BB,94,,,
Sun Apr 21 2024,Bursaspor İnfo Yatırım,94,,Petkim Spor,78,,,
Sun Apr 21 2024,Pınar Karşıyaka,91,,Tofaş,111,,,
Mon Apr 22 2024,Galatasaray Nef,77,,Beşiktaş Emlakjet,76,,,
Thu Apr 25 2024,Fenerbahçe Beko,,,Bursaspor İnfo Yatırım,,,,Postponed
Fri Apr 26 2024,Reeder Samsunspor,69,,Galatasaray Nef,113,,,
Sat Apr 27 2024,Manisa BB,87,,Çağdaş Bodrumspor,67,,,
Sat Apr 27 2024,Yukatel Merkezefendi Basket,73,,Pınar Karşıyaka,97,,,
Sun Apr 28 2024,Tofaş,90,,Bahçeşehir Koleji,85,,,
Sun Apr 28 2024,Petkim Spor,94,,ONVO Büyükçekmece,96,,OT,
Sun Apr 28 2024,Beşiktaş Emlakjet,89,,Türk Telekom,83,,,
Mon Apr 29 2024,Anadolu Efes,87,,Darüşşafaka Lassa,74,,,
Wed May 1 2024,Tofaş,80,,Çağdaş Bodrumspor,78,,,
Fri May 3 2024,Reeder Samsunspor,55,,Beşiktaş Emlakjet,111,,,
Sat May 4 2024,Pınar Karşıyaka,98,,Manisa BB,80,,,
Sat May 4 2024,Çağdaş Bodrumspor,76,,Petkim Spor,120,,,
Sat May 4 2024,Galatasaray Nef,107,,Tofaş,102,,OT,
Sun May 5 2024,Bahçeşehir Koleji,75,,Yukatel Merkezefendi Basket,86,,,
Sun May 5 2024,Darüşşafaka Lassa,71,,Türk Telekom,90,,,
Mon May 6 2024,Bursaspor İnfo Yatırım,98,,Anadolu Efes,90,,,
Mon May 6 2024,ONVO Büyükçekmece,,,Fenerbahçe Beko,,,,Postponed
Sat May 11 2024,Fenerbahçe Beko,116,,Bursaspor İnfo Yatırım,112,,2OT,
Mon May 13 2024,ONVO Büyükçekmece,90,,Fenerbahçe Beko,92,,,
