Date,Team,PTS,,Opp,PTS,,OT,Notes
Sun Mar 3 2024,Real Madrid,89,,MoraBanc Andorra,70,,,
Sun Mar 3 2024,Casademont Zaragoza,68,,Barça,109,,,
Sun Mar 3 2024,Monbus Obradoiro,77,,Bàsquet Girona,78,,,
Sun Mar 3 2024,Baskonia,80,,Dreamland Gran Canaria,98,,,
Sun Mar 3 2024,Zunder Palencia,93,,Valencia Basket,111,,,
Sat Mar 9 2024,Unicaja,76,,Río Breogán,65,,,
Sat Mar 9 2024,Casademont Zaragoza,85,,Dreamland Gran Canaria,111,,,
Sat Mar 9 2024,Baxi Manresa,83,,Joventut,81,,,
Sat Mar 9 2024,Bàsquet Girona,73,,UCAM Murcia,81,,,
Sun Mar 10 2024,Surne Bilbao Basket,79,,Covirán Granada,87,,,
Sun Mar 10 2024,Valencia Basket,97,,Monbus Obradoiro,75,,,
Sun Mar 10 2024,MoraBanc Andorra,70,,Zunder Palencia,77,,,
Sun Mar 10 2024,Lenovo Tenerife,78,,Real Madrid,80,,,
Sun Mar 10 2024,Barça,96,,Baskonia,103,,,
Sat Mar 16 2024,Lenovo Tenerife,79,,MoraBanc Andorra,66,,,
Sat Mar 16 2024,Dreamland Gran Canaria,71,,Baxi Manresa,78,,,
Sat Mar 16 2024,Monbus Obradoiro,81,,UCAM Murcia,94,,,
Sat Mar 16 2024,Covirán Granada,88,,Baskonia,104,,,
Sun Mar 17 2024,Río Breogán,88,,Barça,85,,,
Sun Mar 17 2024,Valencia Basket,88,,Bàsquet Girona,92,,,
Sun Mar 17 2024,Joventut,71,,Surne Bilbao Basket,92,,,
Sun Mar 17 2024,Real Madrid,87,,Unicaja,81,,,
Sun Mar 17 2024,Zunder Palencia,96,,Casademont Zaragoza,103,,,
Sat Mar 23 2024,Casademont Zaragoza,80,,MoraBanc Andorra,85,,,
Sat Mar 23 2024,Baxi Manresa,84,,Bàsquet Girona,83,,,
Sat Mar 23 2024,Unicaja,90,,Covirán Granada,62,,,
