Date,Team,PTS,,Opp,PTS,,OT,Notes
Sun Mar 24 2024,Umana Reyer Venezia,90,,Vanoli Basket Cremona,92,,,
Sun Mar 24 2024,GeVi Napoli Basket,84,,EA7 Emporio Armani Milano,86,,,
Sun Mar 24 2024,UNAHOTELS Reggio Emilia,87,,Carpegna Prosciutto Pesaro,69,,,
Sun Mar 24 2024,Happy Casa Brindisi,84,,Givova Scafati,76,,,
Sun Mar 24 2024,Openjobmetis Varese,83,,Bertram Derthona Tortona,90,,,
Mon Mar 25 2024,Virtus Segafredo Bologna,87,,Germani Basket Brescia,73,,,
Sat Mar 30 2024,Banco di Sardegna Sassari,76,,Happy Casa Brindisi,70,,,
Sat Mar 30 2024,Umana Reyer Venezia,97,,GeVi Napoli Basket,90,,,
Sat Mar 30 2024,EA7 Emporio Armani Milano,72,,UNAHOTELS Reggio Emilia,68,,,
Sat Mar 30 2024,Vanoli Basket Cremona,76,,Bertram Derthona Tortona,87,,,
Sat Mar 30 2024,Givova Scafati,79,,Dolomiti Energia Trento,84,,,
Sat Mar 30 2024,Carpegna Prosciutto Pesaro,89,,NutriBullet Treviso Basket,93,,,
Sat Mar 30 2024,Germani Basket Brescia,95,,Openjobmetis Varese,92,,,
Mon Apr 1 2024,Estra Pistoia,100,,Virtus Segafredo Bologna,93,,,
Sat Apr 6 2024,Bertram Derthona Tortona,65,,Germani Basket Brescia,72,,,
Sun Apr 7 2024,NutriBullet Treviso Basket,75,,Happy Casa Brindisi,93,,,
Sun Apr 7 2024,Givova Scafati,63,,Vanoli Basket Cremona,68,,,
Sun Apr 7 2024,Dolomiti Energia Trento,86,,EA7 Emporio Armani Milano,91,,,
Sun Apr 7 2024,UNAHOTELS Reggio Emilia,82,,Estra Pistoia,83,,,
Sun Apr 7 2024,Carpegna Prosciutto Pesaro,96,,Banco di Sardegna Sassari,91,,,
Sun Apr 7 2024,GeVi Napoli Basket,79,,Openjobmetis Varese,113,,,
Sun Apr 7 2024,Virtus Segafredo Bologna,89,,Umana Reyer Venezia,70,,,
Sat Apr 13 2024,Estra Pistoia,82,,Carpegna Prosciutto Pesaro,89,,,
Sat Apr 13 2024,Bertram Derthona Tortona,81,,Dolomiti Energia Trento,83,,,
Sun Apr 14 2024,Umana Reyer Venezia,84,,Germani Basket Brescia,90,,,
Sun Apr 14 2024,Banco di Sardegna Sassari,79,,GeVi Napoli Basket,88,,,
Sun Apr 14 2024,Happy Casa Brindisi,66,,UNAHOTELS Reggio Emilia,74,,,
Sun Apr 14 2024,Openjobmetis Varese,90,,Givova Scafati,102,,,
Sun Apr 14 2024,EA7 Emporio Armani Milano,91,,NutriBullet Treviso Basket,89,,,
Sun Apr 14 2024,Vanoli Basket Cremona,85,,Virtus Segafredo Bologna,93,,,
Sat Apr 20 2024,Germani Basket Brescia,77,,Vanoli Basket Cremona,84,,,
Sat Apr 20 2024,Carpegna Prosciutto Pesaro,76,,Bertram Derthona Tortona,94,,,
Sun Apr 21 2024,Givova Scafati,77,,EA7 Emporio Armani Milano,99,,,
